dataset: rConcept.arff
								--------------
 0.006989    106 A3 MULTIPLY A5
 0.006947    111 A3 LESSTHAN A4
 0.0069359    13 A3==(50.007049-inf) and A5==(50.000179-inf)
 0.0067683    66 A3 ADD A4
 0.0067584   120 A3_x_A4
 0.0060568    75 A3 SUBTRACT A4
 0.0060508    27 A3==(50.007049-inf) equ A4==(50.032252-inf)
 0.0060508    36 A3==(50.007049-inf) xor A4==(50.032252-inf)
 0.0059615    49 A3==(50.007049-inf) impl A5==(50.000179-inf)
 0.0057063   117 A2 LESSTHAN A5
 0.0030058    48 A1==(49.97291-inf) impl A3==(50.007049-inf)
 0.0029883   107 A1 MULTIPLY A4
 0.0025628   115 A3 LESSTHAN A5
 0.0024602    70 A3 ADD A5
 0.0019315    31 A3==(50.007049-inf) equ A5==(50.000179-inf)
 0.0019315    40 A3==(50.007049-inf) xor A5==(50.000179-inf)
 0.001838      4 A4
 0.0018101    80 A1 SUBTRACT A4
 0.0016661     1 A1
 0.0016202    86 A3 DIVIDE A4
 0.0014951    71 A1 ADD A4
 0.0013712    96 A1 DIVIDE A4
 0.0010738    14 A1==(49.97291-inf) and A4==(50.032252-inf)
 0.0009701    79 A3 SUBTRACT A5
 0.0009117    92 A1 DIVIDE A3
 0.0009005    90 A2 DIVIDE A4
 0.0008725    98 A2 DIVIDE A5
 0.0008412    78 A1 SUBTRACT A3
 0.0007995   124 A3_x_A5
 0.0007525    82 A2 DIVIDE A3
 0.0004731    95 A5 DIVIDE A3
 0.0004084    87 A4 DIVIDE A3
 0.0003301    85 A2 DIVIDE A1
 0.0002002    97 A4 DIVIDE A1
 0.0000533    93 A3 DIVIDE A1
-0.0000912    94 A3 DIVIDE A5
-0.0001557    67 A4 ADD A5
-0.0001726    89 A5 DIVIDE A4
-0.0008014    88 A4 DIVIDE A5
-0.0009021    23 A1==(49.97291-inf) or A4==(50.032252-inf)
-0.0009175    19 A4==(50.032252-inf) or A5==(50.000179-inf)
-0.0012608    83 A3 DIVIDE A2
-0.0012863    91 A4 DIVIDE A2
-0.0013089    84 A1 DIVIDE A2
-0.0018251    99 A5 DIVIDE A2
-0.0019216   125 A1_x_A4
-0.0020322    18 A3==(50.007049-inf) or A4==(50.032252-inf)
-0.0024239    41 A1==(49.97291-inf) xor A4==(50.032252-inf)
-0.0024239    32 A1==(49.97291-inf) equ A4==(50.032252-inf)
-0.0042501   103 A4 MULTIPLY A5
-0.0048065    22 A3==(50.007049-inf) or A5==(50.000179-inf)
-0.0058753    76 A4 SUBTRACT A5
-0.0067677    21 A1==(49.97291-inf) or A3==(50.007049-inf)
-0.0069717    62 A1==(49.97291-inf) or A3==(50.007049-inf) or A4==(50.032252-inf)
-0.007712     46 A4==(50.032252-inf) impl A5==(50.000179-inf)
-0.0099288    28 A4==(50.032252-inf) equ A5==(50.000179-inf)
-0.0099288    37 A4==(50.032252-inf) xor A5==(50.000179-inf)
-0.0106646     5 A5
-0.0107179    10 A4==(50.032252-inf) and A5==(50.000179-inf)
-0.0107697   112 A4 LESSTHAN A5
-0.0129227   121 A4_x_A5
-0.0151634     6 A6
-0.0192672    61 A1==(49.97291-inf) or A2==(50.004845-inf) or A3==(50.007049-inf)


ReliefF (param. search)
The best parameter when using M5P: ReliefF@0.5
ReliefF (param. search)
The best parameter when using LinearRegression: ReliefF@0.0
ReliefF (param. search)
The best parameter when using M5Rules: ReliefF@0.5
ReliefF (param. search)
The best parameter when using RandomForest: ReliefF@0.5
								--------------
									Fold  2
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.30779039   118 A2_x_A3
 0.29402023   122 A2_x_A4
 0.29265928   119 A1_x_A2
 0.28497384    25 A2==(50.004845-inf) equ A3==(50.007049-inf)
 0.28497384    34 A2==(50.004845-inf) xor A3==(50.007049-inf)
 0.27574208   126 A2_x_A5
 0.27474503     7 A2==(50.004845-inf) and A3==(50.007049-inf)
 0.27297647    29 A2==(50.004845-inf) equ A4==(50.00145-inf)
 0.27297647    38 A2==(50.004845-inf) xor A4==(50.00145-inf)
 0.26546294    35 A1==(49.97291-inf) xor A2==(50.004845-inf)
 0.26546294    26 A1==(49.97291-inf) equ A2==(50.004845-inf)
 0.24449187    42 A2==(50.004845-inf) xor A5==(50.000179-inf)
 0.24449187    33 A2==(50.004845-inf) equ A5==(50.000179-inf)
 0.22742219     8 A1==(49.97291-inf) and A2==(50.004845-inf)
 0.19903785    47 A2==(50.004845-inf) impl A4==(50.00145-inf)
 0.19677596    20 A2==(50.004845-inf) or A4==(50.00145-inf)
 0.18492619    44 A1==(49.97291-inf) impl A2==(50.004845-inf)
 0.18267586    55 A1==(49.97291-inf) and A2==(50.004845-inf) and A3==(50.007049-inf)
 0.15302155    51 A2==(50.004845-inf) impl A5==(50.000179-inf)
 0.13864169    24 A2==(50.004845-inf) or A5==(50.000179-inf)
 0.1335976     15 A2==(50.004845-inf) and A5==(50.000179-inf)
 0.12088123    57 A2==(50.004845-inf) and A3==(50.007049-inf) and A5==(50.000179-inf)
 0.09937138    60 A2==(50.004845-inf) or A4==(50.00145-inf) or A5==(50.000179-inf)
 0.097175      43 A2==(50.004845-inf) impl A3==(50.007049-inf)
 0.0969382     52 A2==(50.004845-inf) and A3==(50.007049-inf) and A4==(50.00145-inf)
 0.09568074    11 A2==(50.004845-inf) and A4==(50.00145-inf)
 0.08068457    53 A1==(49.97291-inf) and A2==(50.004845-inf) and A4==(50.00145-inf)
 0.06945785    17 A1==(49.97291-inf) or A2==(50.004845-inf)
 0.04979539    59 A1==(49.97291-inf) or A2==(50.004845-inf) or A4==(50.00145-inf)
 0.04170825   100 A2 MULTIPLY A3
 0.04002168    54 A2==(50.004845-inf) and A4==(50.00145-inf) and A5==(50.000179-inf)
 0.03038383    16 A2==(50.004845-inf) or A3==(50.007049-inf)
 0.03035491   101 A1 MULTIPLY A2
 0.02917749     2 A2
 0.02635659   109 A2 LESSTHAN A3
 0.02607809    58 A2==(50.004845-inf) or A3==(50.007049-inf) or A4==(50.00145-inf)
 0.02021093   110 A1 LESSTHAN A2
 0.01964111   105 A1 MULTIPLY A3
 0.01962689    64 A2 ADD A3
 0.01683235    12 A1==(49.97291-inf) and A3==(50.007049-inf)
 0.01506172    68 A2 ADD A4
 0.01505815    73 A2 SUBTRACT A3
 0.01406456   111 A3 LESSTHAN A4
 0.01402181   114 A1 LESSTHAN A3
 0.01399336    69 A1 ADD A3
 0.0139504     65 A1 ADD A2
 0.01333941    74 A1 SUBTRACT A2
 0.0125292      3 A3
 0.0116914    113 A2 LESSTHAN A4
 0.01158671    77 A2 SUBTRACT A4
 0.0112563    117 A2 LESSTHAN A5
 0.01061352   108 A2 MULTIPLY A5
 0.00924572   102 A3 MULTIPLY A4
 0.0091155    123 A1_x_A3
 0.00905594    56 A1==(49.97291-inf) and A3==(50.007049-inf) and A4==(50.00145-inf)
 0.00881672    39 A1==(49.97291-inf) xor A3==(50.007049-inf)
 0.00881672    30 A1==(49.97291-inf) equ A3==(50.007049-inf)
 0.00871287    63 A2==(50.004845-inf) or A3==(50.007049-inf) or A5==(50.000179-inf)
 0.00862745    72 A2 ADD A5
 0.00723865    45 A3==(50.007049-inf) impl A4==(50.00145-inf)
 0.00684066   104 A2 MULTIPLY A4
 0.00663856    66 A3 ADD A4
 0.00660478    81 A2 SUBTRACT A5
 0.00589362    49 A3==(50.007049-inf) impl A5==(50.000179-inf)
 0.00547648    75 A3 SUBTRACT A4
 0.0053083    106 A3 MULTIPLY A5
 0.00526925     9 A3==(50.007049-inf) and A4==(50.00145-inf)
 0.00409857    48 A1==(49.97291-inf) impl A3==(50.007049-inf)
 0.00398977   120 A3_x_A4
 0.00335689    36 A3==(50.007049-inf) xor A4==(50.00145-inf)
 0.00335689    27 A3==(50.007049-inf) equ A4==(50.00145-inf)
 0.00335323    50 A1==(49.97291-inf) impl A4==(50.00145-inf)
 0.00308531   116 A1 LESSTHAN A4
 0.00278767   107 A1 MULTIPLY A4
 0.0021629      4 A4
 0.00212315     1 A1
 0.0019406     71 A1 ADD A4
 0.00178428   115 A3 LESSTHAN A5
 0.00176945    86 A3 DIVIDE A4
 0.00162844    80 A1 SUBTRACT A4
 0.00157777    13 A3==(50.007049-inf) and A5==(50.000179-inf)
 0.00144847    96 A1 DIVIDE A4
 0.00100481    90 A2 DIVIDE A4
 0.00083502    70 A3 ADD A5
 0.00069139    98 A2 DIVIDE A5
 0.00057958    82 A2 DIVIDE A3
 0.00046292    79 A3 SUBTRACT A5
 0.00041725    92 A1 DIVIDE A3
 0.00033777    78 A1 SUBTRACT A3
 0.00033144    87 A4 DIVIDE A3
 0.00021036    95 A5 DIVIDE A3
 0.00011695    85 A2 DIVIDE A1
 0.00000958    89 A5 DIVIDE A4
 0.00000135    97 A4 DIVIDE A1
-0.00001099    94 A3 DIVIDE A5
-0.00014402    93 A3 DIVIDE A1
-0.00033187    18 A3==(50.007049-inf) or A4==(50.00145-inf)
-0.00052126    31 A3==(50.007049-inf) equ A5==(50.000179-inf)
-0.00052126    40 A3==(50.007049-inf) xor A5==(50.000179-inf)
-0.00084813    88 A4 DIVIDE A5
-0.00099297    67 A4 ADD A5
-0.00122434    83 A3 DIVIDE A2
-0.00125603    84 A1 DIVIDE A2
-0.00125629    91 A4 DIVIDE A2
-0.00183977    99 A5 DIVIDE A2
-0.00193557    19 A4==(50.00145-inf) or A5==(50.000179-inf)
-0.00198516   124 A3_x_A5
-0.00235167    14 A1==(49.97291-inf) and A4==(50.00145-inf)
-0.00344487    22 A3==(50.007049-inf) or A5==(50.000179-inf)
-0.003785      23 A1==(49.97291-inf) or A4==(50.00145-inf)
-0.0047692    103 A4 MULTIPLY A5
-0.00535742    62 A1==(49.97291-inf) or A3==(50.007049-inf) or A4==(50.00145-inf)
-0.00562277    76 A4 SUBTRACT A5
-0.00689659   125 A1_x_A4
-0.00694462    21 A1==(49.97291-inf) or A3==(50.007049-inf)
-0.00760504   112 A4 LESSTHAN A5
-0.00766452    41 A1==(49.97291-inf) xor A4==(50.00145-inf)
-0.00766452    32 A1==(49.97291-inf) equ A4==(50.00145-inf)
-0.00896508    46 A4==(50.00145-inf) impl A5==(50.000179-inf)
-0.01129712     5 A5
-0.01240984    10 A4==(50.00145-inf) and A5==(50.000179-inf)
-0.01421966     6 A6
-0.01461789    28 A4==(50.00145-inf) equ A5==(50.000179-inf)
-0.01461789    37 A4==(50.00145-inf) xor A5==(50.000179-inf)
-0.01680494   121 A4_x_A5
-0.02042288    61 A1==(49.97291-inf) or A2==(50.004845-inf) or A3==(50.007049-inf)


ReliefF (param. search)
The best parameter when using M5P: ReliefF@0.25
ReliefF (param. search)
The best parameter when using LinearRegression: ReliefF@0.0
ReliefF (param. search)
The best parameter when using M5Rules: ReliefF@0.25
ReliefF (param. search)
The best parameter when using RandomForest: ReliefF@0.0
								--------------
									Fold  3
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3051441   105 A2_x_A3
 0.2880254   106 A1_x_A2
 0.2880061   109 A2_x_A4
 0.2819858    23 A2==(50.022052-inf) equ A3==(49.976397-inf)
 0.2819858    31 A2==(50.022052-inf) xor A3==(49.976397-inf)
 0.2706622   112 A2_x_A5
 0.2694785     7 A2==(50.022052-inf) and A3==(49.976397-inf)
 0.2623799    35 A2==(50.022052-inf) xor A4==(50.032252-inf)
 0.2623799    27 A2==(50.022052-inf) equ A4==(50.032252-inf)
 0.2579781    32 A1==(50.031911-inf) xor A2==(50.022052-inf)
 0.2579781    24 A1==(50.031911-inf) equ A2==(50.022052-inf)
 0.2388635    30 A2==(50.022052-inf) equ A5==(50.000179-inf)
 0.2388635    38 A2==(50.022052-inf) xor A5==(50.000179-inf)
 0.2308036     8 A1==(50.031911-inf) and A2==(50.022052-inf)
 0.1962003    19 A2==(50.022052-inf) or A4==(50.032252-inf)
 0.1885233    43 A2==(50.022052-inf) impl A4==(50.032252-inf)
 0.1837553    40 A1==(50.031911-inf) impl A2==(50.022052-inf)
 0.1815545    50 A1==(50.031911-inf) and A2==(50.022052-inf) and A3==(49.976397-inf)
 0.1443493    46 A2==(50.022052-inf) impl A5==(50.000179-inf)
 0.1364828    14 A2==(50.022052-inf) and A5==(50.000179-inf)
 0.1309231    22 A2==(50.022052-inf) or A5==(50.000179-inf)
 0.0984172    47 A2==(50.022052-inf) and A3==(49.976397-inf) and A4==(50.032252-inf)
 0.0975795    11 A2==(50.022052-inf) and A4==(50.032252-inf)
 0.0959537    39 A2==(50.022052-inf) impl A3==(49.976397-inf)
 0.0903935    54 A2==(50.022052-inf) or A4==(50.032252-inf) or A5==(50.000179-inf)
 0.0838136    48 A1==(50.031911-inf) and A2==(50.022052-inf) and A4==(50.032252-inf)
 0.0653532    16 A1==(50.031911-inf) or A2==(50.022052-inf)
 0.0508193    53 A1==(50.031911-inf) or A2==(50.022052-inf) or A4==(50.032252-inf)
 0.0435455    49 A2==(50.022052-inf) and A4==(50.032252-inf) and A5==(50.000179-inf)
 0.0411579    89 A2 MULTIPLY A3
 0.0338045    15 A2==(50.022052-inf) or A3==(49.976397-inf)
 0.0322302    97 A2 LESSTHAN A3
 0.0316947    90 A1 MULTIPLY A2
 0.0298646    52 A2==(50.022052-inf) or A3==(49.976397-inf) or A4==(50.032252-inf)
 0.0291019     2 A2
 0.0278323    98 A1 LESSTHAN A2
 0.0199169    12 A1==(50.031911-inf) and A3==(49.976397-inf)
 0.0194696    57 A2 ADD A3
 0.0193841    94 A1 MULTIPLY A3
 0.0160221    65 A2 SUBTRACT A3
 0.0144623    61 A2 ADD A4
 0.0140802    58 A1 ADD A2
 0.0137468    62 A1 ADD A3
 0.013661    102 A1 LESSTHAN A3
 0.0133667   110 A1_x_A3
 0.0128857    66 A1 SUBTRACT A2
 0.0127467     3 A3
 0.0125198    28 A1==(50.031911-inf) equ A3==(49.976397-inf)
 0.0125198    36 A1==(50.031911-inf) xor A3==(49.976397-inf)
 0.0122238   101 A2 LESSTHAN A4
 0.0113496    51 A1==(50.031911-inf) and A3==(49.976397-inf) and A4==(50.032252-inf)
 0.0111679    69 A2 SUBTRACT A4
 0.0111064    96 A2 MULTIPLY A5
 0.0107287    45 A1==(50.031911-inf) impl A4==(50.032252-inf)
 0.0107036    41 A3==(49.976397-inf) impl A4==(50.032252-inf)
 0.0101531    99 A3 LESSTHAN A4
 0.0096982   104 A2 LESSTHAN A5
 0.0095045     9 A3==(49.976397-inf) and A4==(50.032252-inf)
 0.0093981   107 A3_x_A4
 0.0093641    91 A3 MULTIPLY A4
 0.0090227    33 A3==(49.976397-inf) xor A4==(50.032252-inf)
 0.0090227    25 A3==(49.976397-inf) equ A4==(50.032252-inf)
 0.0089231    64 A2 ADD A5
 0.0073249   103 A1 LESSTHAN A4
 0.0071229    93 A2 MULTIPLY A4
 0.0067078    72 A2 SUBTRACT A5
 0.006655     44 A1==(50.031911-inf) impl A3==(49.976397-inf)
 0.00643      59 A3 ADD A4
 0.0050829    67 A3 SUBTRACT A4
 0.003132     95 A1 MULTIPLY A4
 0.002205     77 A3 DIVIDE A4
 0.00198      85 A1 DIVIDE A4
 0.0016589     1 A1
 0.0015763    63 A1 ADD A4
 0.0015174     4 A4
 0.0013457    71 A1 SUBTRACT A4
 0.0013397    81 A2 DIVIDE A4
 0.0007883    87 A2 DIVIDE A5
 0.0007415    83 A1 DIVIDE A3
 0.0007101    80 A5 DIVIDE A4
 0.0006744    73 A2 DIVIDE A3
 0.0006088    70 A1 SUBTRACT A3
 0.0005097    17 A3==(49.976397-inf) or A4==(50.032252-inf)
 0.0003581    78 A4 DIVIDE A3
 0.0003169    21 A1==(50.031911-inf) or A4==(50.032252-inf)
-0.0000629    76 A2 DIVIDE A1
-0.0001996    13 A1==(50.031911-inf) and A4==(50.032252-inf)
-0.0007422    84 A3 DIVIDE A1
-0.0007618    79 A4 DIVIDE A5
-0.0008941    60 A4 ADD A5
-0.000902     18 A4==(50.032252-inf) or A5==(50.000179-inf)
-0.0014081    88 A5 DIVIDE A2
-0.0014507    86 A4 DIVIDE A1
-0.0016716    74 A3 DIVIDE A2
-0.0017497   111 A1_x_A4
-0.0019589    75 A1 DIVIDE A2
-0.0030432    29 A1==(50.031911-inf) equ A4==(50.032252-inf)
-0.0030432    37 A1==(50.031911-inf) xor A4==(50.032252-inf)
-0.0037432    82 A4 DIVIDE A2
-0.0039868    92 A4 MULTIPLY A5
-0.0050846    56 A1==(50.031911-inf) or A3==(49.976397-inf) or A4==(50.032252-inf)
-0.0052234    20 A1==(50.031911-inf) or A3==(49.976397-inf)
-0.0058899    68 A4 SUBTRACT A5
-0.009899     42 A4==(50.032252-inf) impl A5==(50.000179-inf)
-0.0111478    10 A4==(50.032252-inf) and A5==(50.000179-inf)
-0.0112521     5 A5
-0.0113274    26 A4==(50.032252-inf) equ A5==(50.000179-inf)
-0.0113274    34 A4==(50.032252-inf) xor A5==(50.000179-inf)
-0.011578    100 A4 LESSTHAN A5
-0.0136977   108 A4_x_A5
-0.0145895     6 A6
-0.0192854    55 A1==(50.031911-inf) or A2==(50.022052-inf) or A3==(49.976397-inf)


ReliefF (param. search)
The best parameter when using M5P: ReliefF@0.5
ReliefF (param. search)
The best parameter when using LinearRegression: ReliefF@0.0
ReliefF (param. search)
The best parameter when using M5Rules: ReliefF@0.5
ReliefF (param. search)
The best parameter when using RandomForest: ReliefF@0.0
								--------------
									Fold  4
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.31732571   105 A2_x_A3
 0.30332793   106 A1_x_A2
 0.30089179   109 A2_x_A4
 0.29531376    23 A2==(50.004845-inf) equ A3==(50.007049-inf)
 0.29531376    31 A2==(50.004845-inf) xor A3==(50.007049-inf)
 0.28608568   112 A2_x_A5
 0.28444732     7 A2==(50.004845-inf) and A3==(50.007049-inf)
 0.27536564    32 A1==(49.97291-inf) xor A2==(50.004845-inf)
 0.27536564    24 A1==(49.97291-inf) equ A2==(50.004845-inf)
 0.27446725    27 A2==(50.004845-inf) equ A4==(50.032252-inf)
 0.27446725    35 A2==(50.004845-inf) xor A4==(50.032252-inf)
 0.25653892    30 A2==(50.004845-inf) equ A5==(50.000179-inf)
 0.25653892    38 A2==(50.004845-inf) xor A5==(50.000179-inf)
 0.23779723     8 A1==(49.97291-inf) and A2==(50.004845-inf)
 0.21000898    19 A2==(50.004845-inf) or A4==(50.032252-inf)
 0.20503226    43 A2==(50.004845-inf) impl A4==(50.032252-inf)
 0.19230853    50 A1==(49.97291-inf) and A2==(50.004845-inf) and A3==(50.007049-inf)
 0.19172551    40 A1==(49.97291-inf) impl A2==(50.004845-inf)
 0.15636809    46 A2==(50.004845-inf) impl A5==(50.000179-inf)
 0.14299278    14 A2==(50.004845-inf) and A5==(50.000179-inf)
 0.13743258    22 A2==(50.004845-inf) or A5==(50.000179-inf)
 0.09572608    47 A2==(50.004845-inf) and A3==(50.007049-inf) and A4==(50.032252-inf)
 0.09468948    11 A2==(50.004845-inf) and A4==(50.032252-inf)
 0.09391828    54 A2==(50.004845-inf) or A4==(50.032252-inf) or A5==(50.000179-inf)
 0.09246875    39 A2==(50.004845-inf) impl A3==(50.007049-inf)
 0.07764142    48 A1==(49.97291-inf) and A2==(50.004845-inf) and A4==(50.032252-inf)
 0.07159248    16 A1==(49.97291-inf) or A2==(50.004845-inf)
 0.05590115    53 A1==(49.97291-inf) or A2==(50.004845-inf) or A4==(50.032252-inf)
 0.04127993    89 A2 MULTIPLY A3
 0.0393442     49 A2==(50.004845-inf) and A4==(50.032252-inf) and A5==(50.000179-inf)
 0.03285067    15 A2==(50.004845-inf) or A3==(50.007049-inf)
 0.03163043    90 A1 MULTIPLY A2
 0.0304055      2 A2
 0.02774079    52 A2==(50.004845-inf) or A3==(50.007049-inf) or A4==(50.032252-inf)
 0.02448409    98 A1 LESSTHAN A2
 0.02404146    97 A2 LESSTHAN A3
 0.01943304    94 A1 MULTIPLY A3
 0.01916772    57 A2 ADD A3
 0.01630795    12 A1==(49.97291-inf) and A3==(50.007049-inf)
 0.01595144    65 A2 SUBTRACT A3
 0.01503293    61 A2 ADD A4
 0.01440048    58 A1 ADD A2
 0.01372453    66 A1 SUBTRACT A2
 0.01313405    62 A1 ADD A3
 0.01188236    96 A2 MULTIPLY A5
 0.01176081    51 A1==(49.97291-inf) and A3==(50.007049-inf) and A4==(50.032252-inf)
 0.01169416    69 A2 SUBTRACT A4
 0.01155029     3 A3
 0.00989612   102 A1 LESSTHAN A3
 0.00937162   101 A2 LESSTHAN A4
 0.00921746    64 A2 ADD A5
 0.00901142    99 A3 LESSTHAN A4
 0.0087736     91 A3 MULTIPLY A4
 0.00787839    41 A3==(50.007049-inf) impl A4==(50.032252-inf)
 0.00784146    72 A2 SUBTRACT A5
 0.00708382     9 A3==(50.007049-inf) and A4==(50.032252-inf)
 0.00707315    45 A1==(49.97291-inf) impl A4==(50.032252-inf)
 0.00652992    93 A2 MULTIPLY A4
 0.00623753    36 A1==(49.97291-inf) xor A3==(50.007049-inf)
 0.00623753    28 A1==(49.97291-inf) equ A3==(50.007049-inf)
 0.00606602   110 A1_x_A3
 0.00606151    59 A3 ADD A4
 0.0055454    103 A1 LESSTHAN A4
 0.00541524   104 A2 LESSTHAN A5
 0.00446364    67 A3 SUBTRACT A4
 0.00243371    95 A1 MULTIPLY A4
 0.00208654     1 A1
 0.00193443    33 A3==(50.007049-inf) xor A4==(50.032252-inf)
 0.00193443    25 A3==(50.007049-inf) equ A4==(50.032252-inf)
 0.00192752   107 A3_x_A4
 0.00161376    63 A1 ADD A4
 0.00148031    77 A3 DIVIDE A4
 0.00140075    71 A1 SUBTRACT A4
 0.00124202     4 A4
 0.00123435    85 A1 DIVIDE A4
 0.00100287    44 A1==(49.97291-inf) impl A3==(50.007049-inf)
 0.0009478     87 A2 DIVIDE A5
 0.00069178    81 A2 DIVIDE A4
 0.00042928    73 A2 DIVIDE A3
 0.00028069    76 A2 DIVIDE A1
 0.0001692     86 A4 DIVIDE A1
 0.00016231    78 A4 DIVIDE A3
 0.00008175    83 A1 DIVIDE A3
 0.00001586    70 A1 SUBTRACT A3
 0.00000111    84 A3 DIVIDE A1
-0.00013642    80 A5 DIVIDE A4
-0.00054131    60 A4 ADD A5
-0.00086761    79 A4 DIVIDE A5
-0.0012124     74 A3 DIVIDE A2
-0.00121285    13 A1==(49.97291-inf) and A4==(50.032252-inf)
-0.0012383     75 A1 DIVIDE A2
-0.00125378    82 A4 DIVIDE A2
-0.00166668    88 A5 DIVIDE A2
-0.00364607    21 A1==(49.97291-inf) or A4==(50.032252-inf)
-0.00366309    92 A4 MULTIPLY A5
-0.00418335    17 A3==(50.007049-inf) or A4==(50.032252-inf)
-0.00564988    68 A4 SUBTRACT A5
-0.00612129    18 A4==(50.032252-inf) or A5==(50.000179-inf)
-0.00679914   111 A1_x_A4
-0.00747147    37 A1==(49.97291-inf) xor A4==(50.032252-inf)
-0.00747147    29 A1==(49.97291-inf) equ A4==(50.032252-inf)
-0.00800408    56 A1==(49.97291-inf) or A3==(50.007049-inf) or A4==(50.032252-inf)
-0.00855871    20 A1==(49.97291-inf) or A3==(50.007049-inf)
-0.01017487    10 A4==(50.032252-inf) and A5==(50.000179-inf)
-0.01029736    42 A4==(50.032252-inf) impl A5==(50.000179-inf)
-0.01053336     5 A5
-0.01178692   100 A4 LESSTHAN A5
-0.01435485     6 A6
-0.01539727    26 A4==(50.032252-inf) equ A5==(50.000179-inf)
-0.01539727    34 A4==(50.032252-inf) xor A5==(50.000179-inf)
-0.01859093   108 A4_x_A5
-0.01875209    55 A1==(49.97291-inf) or A2==(50.004845-inf) or A3==(50.007049-inf)


ReliefF (param. search)
The best parameter when using M5P: ReliefF@0.5
ReliefF (param. search)
