dataset: Glass.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.2812835     388 RI==B3of5 impl Ca==B4of4
 0.2803515     629 Na==B2of2 or K==B1of3 or Ca==B1of4
 0.2793126     681 RI==B3of5 or Na==B2of2 or Ba==B2of2
 0.2787852     892 Na_x_K
 0.278622      703 RI==B1of5 or Na==B2of2 or Ca==B4of4
 0.278463      618 K==B1of3 or Ca==B4of4 or Fe
 0.278463      690 Si or K==B1of3 or Ca==B4of4
 0.278463      137 K==B1of3 or Ca==B4of4
 0.2780445     672 Na==B2of2 or K==B3of3 or Ba==B2of2
 0.2779111     385 RI==B3of5 impl Ca==B1of4
 0.2776974     164 Ca==B4of4 equ Ba==B2of2
 0.2776974     259 Ca==B4of4 xor Ba==B2of2
 0.2776916     258 Ca==B3of4 xor Ba==B2of2
 0.2776916     163 Ca==B3of4 equ Ba==B2of2
 0.2771866     708 RI==B3of5 or Na==B2of2 or Ca==B1of4
 0.2771528     676 Si or K==B1of3 or Ba==B2of2
 0.2771528     146 K==B1of3 or Ba==B2of2
 0.2771528     673 K==B1of3 or Ba==B2of2 or Fe
 0.2771013     518 RI==B1of5 or Ca==B3of4 or Ba==B2of2
 0.2767951     407 Na==B2of2 impl Mg==B2of2
 0.2758513     550 RI==B1of5 or Mg==B2of2 or Ca==B4of4
 0.2747333     909 num-of-N((Ba >= 0.4) and (Mg <= 1.83) and (Ca <= 9.45))
 0.2745155     913 num-of-N((Mg <= 1.83) and (RI <= 1.51831) and (RI >= 1.51508))
 0.2738922     711 RI==B3of5 or Na==B2of2 or Ca==B4of4
 0.2738565     113 RI==B3of5 or Ca==B4of4
 0.2738565     507 RI==B3of5 or Ca==B4of4 or Fe
 0.2736978     701 RI==B1of5 or Na==B2of2 or Ca==B2of4
 0.2736158     722 Ca==B3of4 or Ba==B2of2 or Fe
 0.2736158      68 Ca==B3of4 or Ba==B2of2
 0.2736158     608 Si or Ca==B3of4 or Ba==B2of2
 0.2734393     319 RI==B3of5 xor Fe
 0.2734393     224 RI==B3of5 equ Fe
 0.2734393     404 RI==B3of5 impl Fe
 0.2734393     129 RI==B3of5 or Fe
 0.2732133     156 Na==B2of2 or Ca==B2of4
 0.2732133     572 Na==B2of2 or Ca==B2of4 or Fe
 0.2729936     914 num-of-N((Ba >= 0.4) and (Na >= 14.14))
 0.2726347     413 K==B2of3 impl Ca==B1of4
 0.2726347     340 K==B2of3 xor Fe
 0.2726347     150 K==B2of3 or Fe
 0.2726347      71 Si or K==B2of3
 0.2726347     261 Si xor K==B2of3
 0.2726347     725 Si or K==B2of3 or Fe
 0.2726347     425 K==B2of3 impl Fe
 0.2726347     166 Si equ K==B2of3
 0.2726347     245 K==B2of3 equ Fe
 0.2722834     580 K==B1of3 or Ca==B2of4 or Ba==B2of2
 0.2712104     157 Na==B2of2 or Ca==B3of4
 0.2712104     702 RI==B1of5 or Na==B2of2 or Ca==B3of4
 0.2712104     573 Na==B2of2 or Ca==B3of4 or Fe
 0.2711405     663 Mg==B2of2 or K==B2of3 or Ca==B2of4
 0.2705236     873 Si_x_K
 0.2705236     891 K_x_Fe
 0.2705235     628 Na==B2of2 or Ba==B2of2 or Fe
 0.2705235     159 Na==B2of2 or Ba==B2of2
 0.2701043     910 num-of-N((Na >= 14.14) and (Mg <= 0))
 0.2694666     303 RI==B3of5 xor Ca==B4of4
 0.2694666     208 RI==B3of5 equ Ca==B4of4
 0.2678044     579 K==B1of3 or Ca==B1of4 or Ba==B2of2
 0.267702      588 K==B3of3 or Ca==B2of4 or Ba==B2of2
 0.2672538     679 RI==B1of5 or Na==B2of2 or Ba==B2of2
 0.2669915     136 K==B1of3 or Ca==B3of4
 0.2669915     617 K==B1of3 or Ca==B3of4 or Fe
 0.2669915     689 Si or K==B1of3 or Ca==B3of4
 0.2662545     502 RI==B2of5 or Ca==B3of4 or Fe
 0.2662545     108 RI==B2of5 or Ca==B3of4
 0.2662545     203 RI==B2of5 equ Ca==B3of4
 0.2662545     298 RI==B2of5 xor Ca==B3of4
