dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.0214     80 left-weight==B2of2 or left-distance==B2of2 or right-weight==B2of3


								--------------
									Fold  3
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.291    102 num-of-N((left-distance >= 3) and (right-weight <= 2))
 0.2869    85 left-distance_x_right-weight
 0.2805   101 num-of-N((left-distance >= 3) and (left-weight >= 3))
 0.2778    87 left-weight_x_left-distance
 0.2753   103 num-of-N((right-distance <= 2) and (left-distance >= 3))
 0.2713    88 left-distance_x_right-distance
 0.2688    86 right-weight_x_right-distance
 0.2526   104 num-of-N((right-weight <= 2) and (left-weight >= 3))
 0.2495    89 left-weight_x_right-weight
 0.2449    76 left-distance LESSTHAN right-distance
 0.2392     6 right-weight==B2of2 and right-distance==B2of2
 0.2363    25 left-weight==B2of2 xor left-distance==B2of2
 0.2363    19 left-weight==B2of2 equ left-distance==B2of2
 0.2352    24 right-weight==B2of2 xor right-distance==B2of2
 0.2352    18 right-weight==B2of2 equ right-distance==B2of2
 0.2351    90 left-weight_x_right-distance
 0.2331    23 left-distance==B2of2 xor right-weight==B2of2
 0.2331    17 left-distance==B2of2 equ right-weight==B2of2
 0.2313    94 (left-distance >= 3) and (left-weight >= 3)
 0.2313     7 left-weight==B2of2 and left-distance==B2of2
 0.2303   100 num-of-N((right-distance <= 2) and (left-weight >= 2))
 0.2289    73 left-distance LESSTHAN right-weight
 0.2168    26 left-distance==B2of2 xor right-distance==B2of2
 0.2168    20 left-distance==B2of2 equ right-distance==B2of2
 0.2162    78 left-weight LESSTHAN right-distance
 0.2075    77 left-weight LESSTHAN right-weight
 0.203     27 left-weight==B2of2 xor right-weight==B2of2
 0.203     21 left-weight==B2of2 equ right-weight==B2of2
 0.203     99 num-of-N((right-distance <= 1) and (left-weight >= 2))
 0.2026    98 num-of-N((right-weight <= 1) and (left-distance >= 2))
 0.1997    93 (right-distance <= 2) and (left-weight >= 2)
 0.1891    28 left-weight==B2of2 xor right-distance==B2of2
 0.1891    22 left-weight==B2of2 equ right-distance==B2of2
 0.1686    34 left-weight==B2of2 impl right-distance==B2of2
 0.1654    29 left-distance==B2of2 impl right-weight==B2of2
 0.1654    95 (left-distance >= 3) and (right-weight <= 2)
 0.1598    96 (right-distance <= 2) and (left-distance >= 3)
 0.1598    32 left-distance==B2of2 impl right-distance==B2of2
 0.1555     5 left-distance==B2of2 and right-weight==B2of2
 0.154     33 left-weight==B2of2 impl right-weight==B2of2
 0.154     97 (right-weight <= 2) and (left-weight >= 3)
 0.1436    37 left-weight==B2of2 and left-distance==B2of2 and right-weight==B2of2
 0.142     38 left-weight==B2of2 and right-weight==B2of2 and right-distance==B2of2
 0.1374     8 left-distance==B2of2 and right-distance==B2of2
 0.1361    35 left-distance==B2of2 and right-weight==B2of2 and right-distance==B2of2
 0.1355     9 left-weight==B2of2 and right-weight==B2of2
 0.1274    91 (right-weight <= 1) and (left-distance >= 2)
 0.1248    92 (right-distance <= 1) and (left-weight >= 2)
 0.1237    31 left-weight==B2of2 impl left-distance==B2of2
 0.1237    36 left-weight==B2of2 and left-distance==B2of2 and right-distance==B2of2
 0.1226    10 left-weight==B2of2 and right-distance==B2of2
 0.1188    68 right-weight MULTIPLY right-distance
 0.115     69 left-weight MULTIPLY left-distance
 0.1085    52 left-distance SUBTRACT right-distance
 0.1058    49 left-distance SUBTRACT right-weight
 0.1052    30 right-weight==B2of2 impl right-distance==B2of2
 0.103     54 left-weight SUBTRACT right-distance
 0.1027     2 left-distance
 0.1017    45 left-weight ADD left-distance
 0.1       44 right-weight ADD right-distance
 0.0991     4 right-distance
 0.0989    53 left-weight SUBTRACT right-weight
 0.098     79 left-distance DIFF right-weight
 0.0971    62 right-distance DIVIDE left-distance
 0.096     65 left-weight DIVIDE right-distance
 0.0957    61 left-distance DIVIDE right-distance
 0.0955    55 left-distance DIVIDE right-weight
 0.094     56 right-weight DIVIDE left-distance
 0.0933    13 left-weight==B2of2 or left-distance==B2of2
 0.0919    64 right-weight DIVIDE left-weight
 0.0919    63 left-weight DIVIDE right-weight
 0.0911     3 right-weight
 0.0896     1 left-weight
 0.0886    82 left-distance DIFF right-distance
 0.0883    83 left-weight DIFF right-weight
 0.0878    66 right-distance DIVIDE left-weight
 0.0748    84 left-weight DIFF right-distance
 0.0713    14 left-distance==B2of2 or right-distance==B2of2
 0.0694    11 left-distance==B2of2 or right-weight==B2of2
 0.0673    12 right-weight==B2of2 or right-distance==B2of2
 0.0635    75 left-weight LESSTHAN left-distance
 0.0613    15 left-weight==B2of2 or right-weight==B2of2
 0.0606    57 right-weight DIVIDE right-distance
 0.0599    16 left-weight==B2of2 or right-distance==B2of2
 0.0595    58 right-distance DIVIDE right-weight
 0.0574    60 left-distance DIVIDE left-weight
 0.0559    74 right-weight LESSTHAN right-distance
