NEW 	 OLD
F63L1	A1==(20.012411-40.007342] or A2==(40.007803-59.981434]
F64L1	A1==(20.012411-40.007342] or A2==(59.981434-79.955066]
F65L1	A1==(20.012411-40.007342] or A2==(79.955066-inf)
F66L1	A1==(40.007342-60.002274] or A2==(-inf-20.034171]
F67L1	A1==(40.007342-60.002274] or A2==(20.034171-40.007803]
F68L1	A1==(40.007342-60.002274] or A2==(40.007803-59.981434]
F69L1	A1==(40.007342-60.002274] or A2==(59.981434-79.955066]
F70L1	A1==(40.007342-60.002274] or A2==(79.955066-inf)
F71L1	A1==(60.002274-79.997205] or A2==(-inf-20.034171]
F72L1	A1==(60.002274-79.997205] or A2==(20.034171-40.007803]
F73L1	A1==(60.002274-79.997205] or A2==(40.007803-59.981434]
F74L1	A1==(60.002274-79.997205] or A2==(59.981434-79.955066]
F75L1	A1==(60.002274-79.997205] or A2==(79.955066-inf)
F76L1	A1==(79.997205-inf) or A2==(-inf-20.034171]
F77L1	A1==(79.997205-inf) or A2==(20.034171-40.007803]
F78L1	A1==(79.997205-inf) or A2==(40.007803-59.981434]
F79L1	A1==(79.997205-inf) or A2==(59.981434-79.955066]
F80L1	A1==(79.997205-inf) or A2==(79.955066-inf)
F81L1	A2==(-inf-20.034171] or A3==(-inf-20.034171]
F82L1	A2==(-inf-20.034171] or A3==(20.034171-40.007803]
F83L1	A2==(-inf-20.034171] or A3==(40.007803-59.981434]
F84L1	A2==(-inf-20.034171] or A3==(59.981434-79.955066]
F85L1	A2==(-inf-20.034171] or A3==(79.955066-inf)
F86L1	A2==(20.034171-40.007803] or A3==(-inf-20.034171]
F87L1	A2==(20.034171-40.007803] or A3==(20.034171-40.007803]
F88L1	A2==(20.034171-40.007803] or A3==(40.007803-59.981434]
F89L1	A2==(20.034171-40.007803] or A3==(59.981434-79.955066]
F90L1	A2==(20.034171-40.007803] or A3==(79.955066-inf)
F91L1	A2==(40.007803-59.981434] or A3==(-inf-20.034171]
F92L1	A2==(40.007803-59.981434] or A3==(20.034171-40.007803]
F93L1	A2==(40.007803-59.981434] or A3==(40.007803-59.981434]
F94L1	A2==(40.007803-59.981434] or A3==(59.981434-79.955066]
F95L1	A2==(40.007803-59.981434] or A3==(79.955066-inf)
F96L1	A2==(59.981434-79.955066] or A3==(-inf-20.034171]
F97L1	A2==(59.981434-79.955066] or A3==(20.034171-40.007803]
F98L1	A2==(59.981434-79.955066] or A3==(40.007803-59.981434]
F99L1	A2==(59.981434-79.955066] or A3==(59.981434-79.955066]
F100L1	A2==(59.981434-79.955066] or A3==(79.955066-inf)
F101L1	A2==(79.955066-inf) or A3==(-inf-20.034171]
F102L1	A2==(79.955066-inf) or A3==(20.034171-40.007803]
F103L1	A2==(79.955066-inf) or A3==(40.007803-59.981434]
F104L1	A2==(79.955066-inf) or A3==(59.981434-79.955066]
F105L1	A2==(79.955066-inf) or A3==(79.955066-inf)
F106L1	A1==(-inf-20.012411] or A3==(-inf-20.034171]
F107L1	A1==(-inf-20.012411] or A3==(20.034171-40.007803]
F108L1	A1==(-inf-20.012411] or A3==(40.007803-59.981434]
F109L1	A1==(-inf-20.012411] or A3==(59.981434-79.955066]
F110L1	A1==(-inf-20.012411] or A3==(79.955066-inf)
F111L1	A1==(20.012411-40.007342] or A3==(-inf-20.034171]
F112L1	A1==(20.012411-40.007342] or A3==(20.034171-40.007803]
F113L1	A1==(20.012411-40.007342] or A3==(40.007803-59.981434]
F114L1	A1==(20.012411-40.007342] or A3==(59.981434-79.955066]
F115L1	A1==(20.012411-40.007342] or A3==(79.955066-inf)
F116L1	A1==(40.007342-60.002274] or A3==(-inf-20.034171]
F117L1	A1==(40.007342-60.002274] or A3==(20.034171-40.007803]
F118L1	A1==(40.007342-60.002274] or A3==(40.007803-59.981434]
F119L1	A1==(40.007342-60.002274] or A3==(59.981434-79.955066]
F120L1	A1==(40.007342-60.002274] or A3==(79.955066-inf)
F121L1	A1==(60.002274-79.997205] or A3==(-inf-20.034171]
F122L1	A1==(60.002274-79.997205] or A3==(20.034171-40.007803]
F123L1	A1==(60.002274-79.997205] or A3==(40.007803-59.981434]
F124L1	A1==(60.002274-79.997205] or A3==(59.981434-79.955066]
F125L1	A1==(60.002274-79.997205] or A3==(79.955066-inf)
F126L1	A1==(79.997205-inf) or A3==(-inf-20.034171]
F127L1	A1==(79.997205-inf) or A3==(20.034171-40.007803]
F128L1	A1==(79.997205-inf) or A3==(40.007803-59.981434]
F129L1	A1==(79.997205-inf) or A3==(59.981434-79.955066]
F130L1	A1==(79.997205-inf) or A3==(79.955066-inf)
F131L1	A1==(-inf-20.012411] equ A2==(-inf-20.034171]
F132L1	A1==(-inf-20.012411] equ A2==(20.034171-40.007803]
F133L1	A1==(-inf-20.012411] equ A2==(40.007803-59.981434]
F134L1	A1==(-inf-20.012411] equ A2==(59.981434-79.955066]
F135L1	A1==(-inf-20.012411] equ A2==(79.955066-inf)
F136L1	A1==(20.012411-40.007342] equ A2==(-inf-20.034171]
F137L1	A1==(20.012411-40.007342] equ A2==(20.034171-40.007803]
F138L1	A1==(20.012411-40.007342] equ A2==(40.007803-59.981434]
F139L1	A1==(20.012411-40.007342] equ A2==(59.981434-79.955066]
F140L1	A1==(20.012411-40.007342] equ A2==(79.955066-inf)
F141L1	A1==(40.007342-60.002274] equ A2==(-inf-20.034171]
F142L1	A1==(40.007342-60.002274] equ A2==(20.034171-40.007803]
F143L1	A1==(40.007342-60.002274] equ A2==(40.007803-59.981434]
F144L1	A1==(40.007342-60.002274] equ A2==(59.981434-79.955066]
F145L1	A1==(40.007342-60.002274] equ A2==(79.955066-inf)
F146L1	A1==(60.002274-79.997205] equ A2==(-inf-20.034171]
F147L1	A1==(60.002274-79.997205] equ A2==(20.034171-40.007803]
F148L1	A1==(60.002274-79.997205] equ A2==(40.007803-59.981434]
F149L1	A1==(60.002274-79.997205] equ A2==(59.981434-79.955066]
F150L1	A1==(60.002274-79.997205] equ A2==(79.955066-inf)
F151L1	A1==(79.997205-inf) equ A2==(-inf-20.034171]
F152L1	A1==(79.997205-inf) equ A2==(20.034171-40.007803]
F153L1	A1==(79.997205-inf) equ A2==(40.007803-59.981434]
F154L1	A1==(79.997205-inf) equ A2==(59.981434-79.955066]
F155L1	A1==(79.997205-inf) equ A2==(79.955066-inf)
F156L1	A2==(-inf-20.034171] equ A3==(20.034171-40.007803]
F157L1	A2==(-inf-20.034171] equ A3==(40.007803-59.981434]
F158L1	A2==(-inf-20.034171] equ A3==(59.981434-79.955066]
F159L1	A2==(-inf-20.034171] equ A3==(79.955066-inf)
F160L1	A2==(20.034171-40.007803] equ A3==(-inf-20.034171]
F161L1	A2==(20.034171-40.007803] equ A3==(40.007803-59.981434]
F162L1	A2==(20.034171-40.007803] equ A3==(59.981434-79.955066]
F163L1	A2==(20.034171-40.007803] equ A3==(79.955066-inf)
F164L1	A2==(40.007803-59.981434] equ A3==(-inf-20.034171]
F165L1	A2==(40.007803-59.981434] equ A3==(20.034171-40.007803]
F166L1	A2==(40.007803-59.981434] equ A3==(59.981434-79.955066]
F167L1	A2==(40.007803-59.981434] equ A3==(79.955066-inf)
F168L1	A2==(59.981434-79.955066] equ A3==(-inf-20.034171]
F169L1	A2==(59.981434-79.955066] equ A3==(20.034171-40.007803]
F170L1	A2==(59.981434-79.955066] equ A3==(40.007803-59.981434]
F171L1	A2==(59.981434-79.955066] equ A3==(79.955066-inf)
F172L1	A2==(79.955066-inf) equ A3==(-inf-20.034171]
F173L1	A2==(79.955066-inf) equ A3==(20.034171-40.007803]
F174L1	A2==(79.955066-inf) equ A3==(40.007803-59.981434]
F175L1	A2==(79.955066-inf) equ A3==(59.981434-79.955066]
F176L1	A1==(-inf-20.012411] equ A3==(-inf-20.034171]
F177L1	A1==(-inf-20.012411] equ A3==(20.034171-40.007803]
F178L1	A1==(-inf-20.012411] equ A3==(40.007803-59.981434]
F179L1	A1==(-inf-20.012411] equ A3==(59.981434-79.955066]
F180L1	A1==(-inf-20.012411] equ A3==(79.955066-inf)
F181L1	A1==(20.012411-40.007342] equ A3==(-inf-20.034171]
F182L1	A1==(20.012411-40.007342] equ A3==(20.034171-40.007803]
F183L1	A1==(20.012411-40.007342] equ A3==(40.007803-59.981434]
F184L1	A1==(20.012411-40.007342] equ A3==(59.981434-79.955066]
F185L1	A1==(20.012411-40.007342] equ A3==(79.955066-inf)
F186L1	A1==(40.007342-60.002274] equ A3==(-inf-20.034171]
F187L1	A1==(40.007342-60.002274] equ A3==(20.034171-40.007803]
F188L1	A1==(40.007342-60.002274] equ A3==(40.007803-59.981434]
F189L1	A1==(40.007342-60.002274] equ A3==(59.981434-79.955066]
F190L1	A1==(40.007342-60.002274] equ A3==(79.955066-inf)
F191L1	A1==(60.002274-79.997205] equ A3==(-inf-20.034171]
F192L1	A1==(60.002274-79.997205] equ A3==(20.034171-40.007803]
F193L1	A1==(60.002274-79.997205] equ A3==(40.007803-59.981434]
F194L1	A1==(60.002274-79.997205] equ A3==(59.981434-79.955066]
F195L1	A1==(60.002274-79.997205] equ A3==(79.955066-inf)
F196L1	A1==(79.997205-inf) equ A3==(-inf-20.034171]
F197L1	A1==(79.997205-inf) equ A3==(20.034171-40.007803]
F198L1	A1==(79.997205-inf) equ A3==(40.007803-59.981434]
F199L1	A1==(79.997205-inf) equ A3==(59.981434-79.955066]
F200L1	A1==(79.997205-inf) equ A3==(79.955066-inf)
F201L1	A1==(-inf-20.012411] xor A2==(-inf-20.034171]
F202L1	A1==(-inf-20.012411] xor A2==(20.034171-40.007803]
F203L1	A1==(-inf-20.012411] xor A2==(40.007803-59.981434]
F204L1	A1==(-inf-20.012411] xor A2==(59.981434-79.955066]
F205L1	A1==(-inf-20.012411] xor A2==(79.955066-inf)
F206L1	A1==(20.012411-40.007342] xor A2==(-inf-20.034171]
F207L1	A1==(20.012411-40.007342] xor A2==(20.034171-40.007803]
F208L1	A1==(20.012411-40.007342] xor A2==(40.007803-59.981434]
F209L1	A1==(20.012411-40.007342] xor A2==(59.981434-79.955066]
F210L1	A1==(20.012411-40.007342] xor A2==(79.955066-inf)
F211L1	A1==(40.007342-60.002274] xor A2==(-inf-20.034171]
F212L1	A1==(40.007342-60.002274] xor A2==(20.034171-40.007803]
F213L1	A1==(40.007342-60.002274] xor A2==(40.007803-59.981434]
F214L1	A1==(40.007342-60.002274] xor A2==(59.981434-79.955066]
F215L1	A1==(40.007342-60.002274] xor A2==(79.955066-inf)
F216L1	A1==(60.002274-79.997205] xor A2==(-inf-20.034171]
F217L1	A1==(60.002274-79.997205] xor A2==(20.034171-40.007803]
F218L1	A1==(60.002274-79.997205] xor A2==(40.007803-59.981434]
F219L1	A1==(60.002274-79.997205] xor A2==(59.981434-79.955066]
F220L1	A1==(60.002274-79.997205] xor A2==(79.955066-inf)
F221L1	A1==(79.997205-inf) xor A2==(-inf-20.034171]
F222L1	A1==(79.997205-inf) xor A2==(20.034171-40.007803]
F223L1	A1==(79.997205-inf) xor A2==(40.007803-59.981434]
F224L1	A1==(79.997205-inf) xor A2==(59.981434-79.955066]
F225L1	A1==(79.997205-inf) xor A2==(79.955066-inf)
F226L1	A2==(-inf-20.034171] xor A3==(20.034171-40.007803]
F227L1	A2==(-inf-20.034171] xor A3==(40.007803-59.981434]
F228L1	A2==(-inf-20.034171] xor A3==(59.981434-79.955066]
F229L1	A2==(-inf-20.034171] xor A3==(79.955066-inf)
F230L1	A2==(20.034171-40.007803] xor A3==(-inf-20.034171]
F231L1	A2==(20.034171-40.007803] xor A3==(40.007803-59.981434]
F232L1	A2==(20.034171-40.007803] xor A3==(59.981434-79.955066]
F233L1	A2==(20.034171-40.007803] xor A3==(79.955066-inf)
F234L1	A2==(40.007803-59.981434] xor A3==(-inf-20.034171]
F235L1	A2==(40.007803-59.981434] xor A3==(20.034171-40.007803]
F236L1	A2==(40.007803-59.981434] xor A3==(59.981434-79.955066]
F237L1	A2==(40.007803-59.981434] xor A3==(79.955066-inf)
F238L1	A2==(59.981434-79.955066] xor A3==(-inf-20.034171]
F239L1	A2==(59.981434-79.955066] xor A3==(20.034171-40.007803]
F240L1	A2==(59.981434-79.955066] xor A3==(40.007803-59.981434]
F241L1	A2==(59.981434-79.955066] xor A3==(79.955066-inf)
F242L1	A2==(79.955066-inf) xor A3==(-inf-20.034171]
F243L1	A2==(79.955066-inf) xor A3==(20.034171-40.007803]
F244L1	A2==(79.955066-inf) xor A3==(40.007803-59.981434]
F245L1	A2==(79.955066-inf) xor A3==(59.981434-79.955066]
F246L1	A1==(-inf-20.012411] xor A3==(-inf-20.034171]
F247L1	A1==(-inf-20.012411] xor A3==(20.034171-40.007803]
F248L1	A1==(-inf-20.012411] xor A3==(40.007803-59.981434]
F249L1	A1==(-inf-20.012411] xor A3==(59.981434-79.955066]
F250L1	A1==(-inf-20.012411] xor A3==(79.955066-inf)
F251L1	A1==(20.012411-40.007342] xor A3==(-inf-20.034171]
F252L1	A1==(20.012411-40.007342] xor A3==(20.034171-40.007803]
F253L1	A1==(20.012411-40.007342] xor A3==(40.007803-59.981434]
F254L1	A1==(20.012411-40.007342] xor A3==(59.981434-79.955066]
F255L1	A1==(20.012411-40.007342] xor A3==(79.955066-inf)
F256L1	A1==(40.007342-60.002274] xor A3==(-inf-20.034171]
F257L1	A1==(40.007342-60.002274] xor A3==(20.034171-40.007803]
F258L1	A1==(40.007342-60.002274] xor A3==(40.007803-59.981434]
F259L1	A1==(40.007342-60.002274] xor A3==(59.981434-79.955066]
F260L1	A1==(40.007342-60.002274] xor A3==(79.955066-inf)
F261L1	A1==(60.002274-79.997205] xor A3==(-inf-20.034171]
F262L1	A1==(60.002274-79.997205] xor A3==(20.034171-40.007803]
F263L1	A1==(60.002274-79.997205] xor A3==(40.007803-59.981434]
F264L1	A1==(60.002274-79.997205] xor A3==(59.981434-79.955066]
F265L1	A1==(60.002274-79.997205] xor A3==(79.955066-inf)
F266L1	A1==(79.997205-inf) xor A3==(-inf-20.034171]
F267L1	A1==(79.997205-inf) xor A3==(20.034171-40.007803]
F268L1	A1==(79.997205-inf) xor A3==(40.007803-59.981434]
F269L1	A1==(79.997205-inf) xor A3==(59.981434-79.955066]
F270L1	A1==(79.997205-inf) xor A3==(79.955066-inf)
F271L1	A1==(-inf-20.012411] impl A2==(-inf-20.034171]
F272L1	A1==(-inf-20.012411] impl A2==(20.034171-40.007803]
F273L1	A1==(-inf-20.012411] impl A2==(40.007803-59.981434]
F274L1	A1==(-inf-20.012411] impl A2==(59.981434-79.955066]
F275L1	A1==(-inf-20.012411] impl A2==(79.955066-inf)
F276L1	A1==(20.012411-40.007342] impl A2==(-inf-20.034171]
F277L1	A1==(20.012411-40.007342] impl A2==(20.034171-40.007803]
F278L1	A1==(20.012411-40.007342] impl A2==(40.007803-59.981434]
F279L1	A1==(20.012411-40.007342] impl A2==(59.981434-79.955066]
F280L1	A1==(20.012411-40.007342] impl A2==(79.955066-inf)
F281L1	A1==(40.007342-60.002274] impl A2==(-inf-20.034171]
F282L1	A1==(40.007342-60.002274] impl A2==(20.034171-40.007803]
F283L1	A1==(40.007342-60.002274] impl A2==(40.007803-59.981434]
F284L1	A1==(40.007342-60.002274] impl A2==(59.981434-79.955066]
F285L1	A1==(40.007342-60.002274] impl A2==(79.955066-inf)
F286L1	A1==(60.002274-79.997205] impl A2==(-inf-20.034171]
F287L1	A1==(60.002274-79.997205] impl A2==(20.034171-40.007803]
F288L1	A1==(60.002274-79.997205] impl A2==(40.007803-59.981434]
F289L1	A1==(60.002274-79.997205] impl A2==(59.981434-79.955066]
F290L1	A1==(60.002274-79.997205] impl A2==(79.955066-inf)
F291L1	A1==(79.997205-inf) impl A2==(-inf-20.034171]
F292L1	A1==(79.997205-inf) impl A2==(20.034171-40.007803]
F293L1	A1==(79.997205-inf) impl A2==(40.007803-59.981434]
F294L1	A1==(79.997205-inf) impl A2==(59.981434-79.955066]
F295L1	A1==(79.997205-inf) impl A2==(79.955066-inf)
F296L1	A2==(-inf-20.034171] impl A3==(20.034171-40.007803]
F297L1	A2==(-inf-20.034171] impl A3==(40.007803-59.981434]
F298L1	A2==(-inf-20.034171] impl A3==(59.981434-79.955066]
F299L1	A2==(-inf-20.034171] impl A3==(79.955066-inf)
F300L1	A2==(20.034171-40.007803] impl A3==(-inf-20.034171]
F301L1	A2==(20.034171-40.007803] impl A3==(40.007803-59.981434]
F302L1	A2==(20.034171-40.007803] impl A3==(59.981434-79.955066]
F303L1	A2==(20.034171-40.007803] impl A3==(79.955066-inf)
F304L1	A2==(40.007803-59.981434] impl A3==(-inf-20.034171]
F305L1	A2==(40.007803-59.981434] impl A3==(20.034171-40.007803]
F306L1	A2==(40.007803-59.981434] impl A3==(59.981434-79.955066]
F307L1	A2==(40.007803-59.981434] impl A3==(79.955066-inf)
F308L1	A2==(59.981434-79.955066] impl A3==(-inf-20.034171]
F309L1	A2==(59.981434-79.955066] impl A3==(20.034171-40.007803]
F310L1	A2==(59.981434-79.955066] impl A3==(40.007803-59.981434]
F311L1	A2==(59.981434-79.955066] impl A3==(79.955066-inf)
F312L1	A2==(79.955066-inf) impl A3==(-inf-20.034171]
F313L1	A2==(79.955066-inf) impl A3==(20.034171-40.007803]
F314L1	A2==(79.955066-inf) impl A3==(40.007803-59.981434]
F315L1	A2==(79.955066-inf) impl A3==(59.981434-79.955066]
F316L1	A1==(-inf-20.012411] impl A3==(-inf-20.034171]
F317L1	A1==(-inf-20.012411] impl A3==(20.034171-40.007803]
F318L1	A1==(-inf-20.012411] impl A3==(40.007803-59.981434]
F319L1	A1==(-inf-20.012411] impl A3==(59.981434-79.955066]
F320L1	A1==(-inf-20.012411] impl A3==(79.955066-inf)
F321L1	A1==(20.012411-40.007342] impl A3==(-inf-20.034171]
F322L1	A1==(20.012411-40.007342] impl A3==(20.034171-40.007803]
F323L1	A1==(20.012411-40.007342] impl A3==(40.007803-59.981434]
F324L1	A1==(20.012411-40.007342] impl A3==(59.981434-79.955066]
F325L1	A1==(20.012411-40.007342] impl A3==(79.955066-inf)
F326L1	A1==(40.007342-60.002274] impl A3==(-inf-20.034171]
F327L1	A1==(40.007342-60.002274] impl A3==(20.034171-40.007803]
F328L1	A1==(40.007342-60.002274] impl A3==(40.007803-59.981434]
F329L1	A1==(40.007342-60.002274] impl A3==(59.981434-79.955066]
F330L1	A1==(40.007342-60.002274] impl A3==(79.955066-inf)
F331L1	A1==(60.002274-79.997205] impl A3==(-inf-20.034171]
F332L1	A1==(60.002274-79.997205] impl A3==(20.034171-40.007803]
F333L1	A1==(60.002274-79.997205] impl A3==(40.007803-59.981434]
F334L1	A1==(60.002274-79.997205] impl A3==(59.981434-79.955066]
F335L1	A1==(60.002274-79.997205] impl A3==(79.955066-inf)
F336L1	A1==(79.997205-inf) impl A3==(-inf-20.034171]
F337L1	A1==(79.997205-inf) impl A3==(20.034171-40.007803]
F338L1	A1==(79.997205-inf) impl A3==(40.007803-59.981434]
F339L1	A1==(79.997205-inf) impl A3==(59.981434-79.955066]
F340L1	A1==(79.997205-inf) impl A3==(79.955066-inf)
F341L1	A1==(-inf-20.012411] and A2==(-inf-20.034171] and A3==(-inf-20.034171]
F342L1	A1==(-inf-20.012411] and A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F343L1	A1==(-inf-20.012411] and A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F344L1	A1==(-inf-20.012411] and A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F345L1	A1==(-inf-20.012411] and A2==(79.955066-inf) and A3==(79.955066-inf)
F346L1	A1==(20.012411-40.007342] and A2==(-inf-20.034171] and A3==(-inf-20.034171]
F347L1	A1==(20.012411-40.007342] and A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F348L1	A1==(20.012411-40.007342] and A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F349L1	A1==(20.012411-40.007342] and A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F350L1	A1==(20.012411-40.007342] and A2==(79.955066-inf) and A3==(79.955066-inf)
F351L1	A1==(40.007342-60.002274] and A2==(-inf-20.034171] and A3==(-inf-20.034171]
F352L1	A1==(40.007342-60.002274] and A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F353L1	A1==(40.007342-60.002274] and A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F354L1	A1==(40.007342-60.002274] and A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F355L1	A1==(40.007342-60.002274] and A2==(79.955066-inf) and A3==(79.955066-inf)
F356L1	A1==(60.002274-79.997205] and A2==(-inf-20.034171] and A3==(-inf-20.034171]
F357L1	A1==(60.002274-79.997205] and A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F358L1	A1==(60.002274-79.997205] and A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F359L1	A1==(60.002274-79.997205] and A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F360L1	A1==(60.002274-79.997205] and A2==(79.955066-inf) and A3==(79.955066-inf)
F361L1	A1==(79.997205-inf) and A2==(-inf-20.034171] and A3==(-inf-20.034171]
F362L1	A1==(79.997205-inf) and A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F363L1	A1==(79.997205-inf) and A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F364L1	A1==(79.997205-inf) and A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F365L1	A1==(79.997205-inf) and A2==(79.955066-inf) and A3==(79.955066-inf)
F366L1	A1==(-inf-20.012411] or A2==(-inf-20.034171] or A3==(-inf-20.034171]
F367L1	A1==(-inf-20.012411] or A2==(-inf-20.034171] or A3==(20.034171-40.007803]
F368L1	A1==(-inf-20.012411] or A2==(-inf-20.034171] or A3==(40.007803-59.981434]
F369L1	A1==(-inf-20.012411] or A2==(-inf-20.034171] or A3==(59.981434-79.955066]
F370L1	A1==(-inf-20.012411] or A2==(-inf-20.034171] or A3==(79.955066-inf)
F371L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803] or A3==(-inf-20.034171]
F372L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803] or A3==(20.034171-40.007803]
F373L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803] or A3==(40.007803-59.981434]
F374L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803] or A3==(59.981434-79.955066]
F375L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803] or A3==(79.955066-inf)
F376L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434] or A3==(-inf-20.034171]
F377L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434] or A3==(20.034171-40.007803]
F378L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434] or A3==(40.007803-59.981434]
F379L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434] or A3==(59.981434-79.955066]
F380L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434] or A3==(79.955066-inf)
F381L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066] or A3==(-inf-20.034171]
F382L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066] or A3==(20.034171-40.007803]
F383L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066] or A3==(40.007803-59.981434]
F384L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066] or A3==(59.981434-79.955066]
F385L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066] or A3==(79.955066-inf)
F386L1	A1==(-inf-20.012411] or A2==(79.955066-inf) or A3==(-inf-20.034171]
F387L1	A1==(-inf-20.012411] or A2==(79.955066-inf) or A3==(20.034171-40.007803]
