NEW 	 OLD
F160L1	EBIT==B2of3 or total_oper_liabilities
F161L1	EBIT==B3of3 or total_oper_liabilities
F162L1	cost_of_labor or debt==B2of2
F163L1	EBIT==B1of3 or st_liabilities
F164L1	EBIT==B2of3 or st_liabilities
F165L1	EBIT==B3of3 or st_liabilities
F166L1	EBIT==B1of3 or inventories
F167L1	EBIT==B2of3 or inventories
F168L1	EBIT==B3of3 or inventories
F169L1	EBIT==B1of3 equ net_income==B1of3
F170L1	EBIT==B1of3 equ net_income==B2of3
F171L1	EBIT==B1of3 equ net_income==B3of3
F172L1	EBIT==B2of3 equ net_income==B1of3
F173L1	EBIT==B2of3 equ net_income==B2of3
F174L1	EBIT==B2of3 equ net_income==B3of3
F175L1	EBIT==B3of3 equ net_income==B1of3
F176L1	EBIT==B3of3 equ net_income==B2of3
F177L1	EBIT==B3of3 equ net_income==B3of3
F178L1	cost_of_labor equ interest==B2of2
F179L1	cost_of_labor equ EBIT==B1of3
F180L1	cost_of_labor equ EBIT==B2of3
F181L1	cost_of_labor equ EBIT==B3of3
F182L1	cost_of_labor equ net_income==B1of3
F183L1	cost_of_labor equ net_income==B2of3
F184L1	cost_of_labor equ net_income==B3of3
F185L1	EBIT==B1of3 equ FFO==B1of3
F186L1	EBIT==B1of3 equ FFO==B2of3
F187L1	EBIT==B1of3 equ FFO==B3of3
F188L1	EBIT==B2of3 equ FFO==B1of3
F189L1	EBIT==B2of3 equ FFO==B2of3
F190L1	EBIT==B2of3 equ FFO==B3of3
F191L1	EBIT==B3of3 equ FFO==B1of3
F192L1	EBIT==B3of3 equ FFO==B2of3
F193L1	EBIT==B3of3 equ FFO==B3of3
F194L1	cost_of_labor equ FFO==B1of3
F195L1	cost_of_labor equ FFO==B2of3
F196L1	cost_of_labor equ FFO==B3of3
F197L1	equity==B2of2 equ debt==B2of2
F198L1	equity==B2of2 equ total_oper_liabilities
F199L1	net_income==B1of3 equ equity==B2of2
F200L1	net_income==B2of3 equ equity==B2of2
F201L1	net_income==B3of3 equ equity==B2of2
F202L1	net_income==B1of3 equ debt==B2of2
F203L1	net_income==B2of3 equ debt==B2of2
F204L1	net_income==B3of3 equ debt==B2of2
F205L1	equity==B2of2 equ st_liabilities
F206L1	equity==B2of2 equ inventories
F207L1	financial_expenses equ equity==B2of2
F208L1	net_income==B1of3 equ total_oper_liabilities
F209L1	net_income==B2of3 equ total_oper_liabilities
F210L1	net_income==B3of3 equ total_oper_liabilities
F211L1	net_income==B1of3 equ st_liabilities
F212L1	net_income==B2of3 equ st_liabilities
F213L1	net_income==B3of3 equ st_liabilities
F214L1	net_income==B1of3 equ inventories
F215L1	net_income==B2of3 equ inventories
F216L1	net_income==B3of3 equ inventories
F217L1	st_liabilities equ FFO==B1of3
F218L1	st_liabilities equ FFO==B2of3
F219L1	st_liabilities equ FFO==B3of3
F220L1	equity==B2of2 equ FFO==B1of3
F221L1	equity==B2of2 equ FFO==B2of3
F222L1	equity==B2of2 equ FFO==B3of3
F223L1	financial_expenses equ interest==B2of2
F224L1	debt==B2of2 equ total_oper_liabilities
F225L1	financial_expenses equ net_income==B1of3
F226L1	financial_expenses equ net_income==B2of3
F227L1	financial_expenses equ net_income==B3of3
F228L1	net_income==B1of3 equ FFO==B1of3
F229L1	net_income==B1of3 equ FFO==B2of3
F230L1	net_income==B1of3 equ FFO==B3of3
F231L1	net_income==B2of3 equ FFO==B1of3
F232L1	net_income==B2of3 equ FFO==B2of3
F233L1	net_income==B2of3 equ FFO==B3of3
F234L1	net_income==B3of3 equ FFO==B1of3
F235L1	net_income==B3of3 equ FFO==B2of3
F236L1	net_income==B3of3 equ FFO==B3of3
F237L1	debt==B2of2 equ st_liabilities
F238L1	debt==B2of2 equ inventories
F239L1	interest==B2of2 equ equity==B2of2
F240L1	financial_expenses equ FFO==B1of3
F241L1	financial_expenses equ FFO==B2of3
F242L1	financial_expenses equ FFO==B3of3
F243L1	interest==B2of2 equ debt==B2of2
F244L1	interest==B2of2 equ total_oper_liabilities
F245L1	interest==B2of2 equ st_liabilities
F246L1	interest==B2of2 equ inventories
F247L1	inventories equ FFO==B1of3
F248L1	inventories equ FFO==B2of3
F249L1	inventories equ FFO==B3of3
F250L1	total_oper_liabilities equ FFO==B1of3
F251L1	total_oper_liabilities equ FFO==B2of3
F252L1	total_oper_liabilities equ FFO==B3of3
F253L1	debt==B2of2 equ FFO==B1of3
F254L1	debt==B2of2 equ FFO==B2of3
F255L1	debt==B2of2 equ FFO==B3of3
F256L1	interest==B2of2 equ EBIT==B1of3
F257L1	interest==B2of2 equ EBIT==B2of3
F258L1	interest==B2of2 equ EBIT==B3of3
F259L1	interest==B2of2 equ net_income==B1of3
F260L1	interest==B2of2 equ net_income==B2of3
F261L1	interest==B2of2 equ net_income==B3of3
F262L1	interest==B2of2 equ FFO==B1of3
F263L1	interest==B2of2 equ FFO==B2of3
F264L1	interest==B2of2 equ FFO==B3of3
F265L1	EBIT==B1of3 equ equity==B2of2
F266L1	EBIT==B2of3 equ equity==B2of2
F267L1	EBIT==B3of3 equ equity==B2of2
F268L1	EBIT==B1of3 equ debt==B2of2
F269L1	EBIT==B2of3 equ debt==B2of2
F270L1	EBIT==B3of3 equ debt==B2of2
F271L1	cost_of_labor equ equity==B2of2
F272L1	EBIT==B1of3 equ total_oper_liabilities
F273L1	EBIT==B2of3 equ total_oper_liabilities
F274L1	EBIT==B3of3 equ total_oper_liabilities
F275L1	cost_of_labor equ debt==B2of2
F276L1	EBIT==B1of3 equ st_liabilities
F277L1	EBIT==B2of3 equ st_liabilities
F278L1	EBIT==B3of3 equ st_liabilities
F279L1	EBIT==B1of3 equ inventories
F280L1	EBIT==B2of3 equ inventories
F281L1	EBIT==B3of3 equ inventories
F282L1	EBIT==B1of3 xor net_income==B1of3
F283L1	EBIT==B1of3 xor net_income==B2of3
F284L1	EBIT==B1of3 xor net_income==B3of3
F285L1	EBIT==B2of3 xor net_income==B1of3
F286L1	EBIT==B2of3 xor net_income==B2of3
F287L1	EBIT==B2of3 xor net_income==B3of3
F288L1	EBIT==B3of3 xor net_income==B1of3
F289L1	EBIT==B3of3 xor net_income==B2of3
F290L1	EBIT==B3of3 xor net_income==B3of3
F291L1	cost_of_labor xor interest==B2of2
F292L1	cost_of_labor xor EBIT==B1of3
F293L1	cost_of_labor xor EBIT==B2of3
F294L1	cost_of_labor xor EBIT==B3of3
F295L1	cost_of_labor xor net_income==B1of3
F296L1	cost_of_labor xor net_income==B2of3
F297L1	cost_of_labor xor net_income==B3of3
F298L1	EBIT==B1of3 xor FFO==B1of3
F299L1	EBIT==B1of3 xor FFO==B2of3
F300L1	EBIT==B1of3 xor FFO==B3of3
F301L1	EBIT==B2of3 xor FFO==B1of3
F302L1	EBIT==B2of3 xor FFO==B2of3
F303L1	EBIT==B2of3 xor FFO==B3of3
F304L1	EBIT==B3of3 xor FFO==B1of3
F305L1	EBIT==B3of3 xor FFO==B2of3
F306L1	EBIT==B3of3 xor FFO==B3of3
F307L1	cost_of_labor xor FFO==B1of3
F308L1	cost_of_labor xor FFO==B2of3
F309L1	cost_of_labor xor FFO==B3of3
F310L1	equity==B2of2 xor debt==B2of2
F311L1	equity==B2of2 xor total_oper_liabilities
F312L1	net_income==B1of3 xor equity==B2of2
F313L1	net_income==B2of3 xor equity==B2of2
F314L1	net_income==B3of3 xor equity==B2of2
F315L1	net_income==B1of3 xor debt==B2of2
F316L1	net_income==B2of3 xor debt==B2of2
F317L1	net_income==B3of3 xor debt==B2of2
F318L1	equity==B2of2 xor st_liabilities
F319L1	equity==B2of2 xor inventories
F320L1	financial_expenses xor equity==B2of2
F321L1	net_income==B1of3 xor total_oper_liabilities
F322L1	net_income==B2of3 xor total_oper_liabilities
F323L1	net_income==B3of3 xor total_oper_liabilities
F324L1	net_income==B1of3 xor st_liabilities
F325L1	net_income==B2of3 xor st_liabilities
F326L1	net_income==B3of3 xor st_liabilities
F327L1	net_income==B1of3 xor inventories
F328L1	net_income==B2of3 xor inventories
F329L1	net_income==B3of3 xor inventories
F330L1	st_liabilities xor FFO==B1of3
F331L1	st_liabilities xor FFO==B2of3
F332L1	st_liabilities xor FFO==B3of3
F333L1	equity==B2of2 xor FFO==B1of3
F334L1	equity==B2of2 xor FFO==B2of3
F335L1	equity==B2of2 xor FFO==B3of3
F336L1	financial_expenses xor interest==B2of2
F337L1	debt==B2of2 xor total_oper_liabilities
F338L1	financial_expenses xor net_income==B1of3
F339L1	financial_expenses xor net_income==B2of3
F340L1	financial_expenses xor net_income==B3of3
F341L1	net_income==B1of3 xor FFO==B1of3
F342L1	net_income==B1of3 xor FFO==B2of3
F343L1	net_income==B1of3 xor FFO==B3of3
F344L1	net_income==B2of3 xor FFO==B1of3
F345L1	net_income==B2of3 xor FFO==B2of3
F346L1	net_income==B2of3 xor FFO==B3of3
F347L1	net_income==B3of3 xor FFO==B1of3
F348L1	net_income==B3of3 xor FFO==B2of3
F349L1	net_income==B3of3 xor FFO==B3of3
F350L1	debt==B2of2 xor st_liabilities
F351L1	debt==B2of2 xor inventories
F352L1	interest==B2of2 xor equity==B2of2
F353L1	financial_expenses xor FFO==B1of3
F354L1	financial_expenses xor FFO==B2of3
F355L1	financial_expenses xor FFO==B3of3
F356L1	interest==B2of2 xor debt==B2of2
F357L1	interest==B2of2 xor total_oper_liabilities
F358L1	interest==B2of2 xor st_liabilities
F359L1	interest==B2of2 xor inventories
F360L1	inventories xor FFO==B1of3
F361L1	inventories xor FFO==B2of3
F362L1	inventories xor FFO==B3of3
F363L1	total_oper_liabilities xor FFO==B1of3
F364L1	total_oper_liabilities xor FFO==B2of3
F365L1	total_oper_liabilities xor FFO==B3of3
F366L1	debt==B2of2 xor FFO==B1of3
F367L1	debt==B2of2 xor FFO==B2of3
F368L1	debt==B2of2 xor FFO==B3of3
F369L1	interest==B2of2 xor EBIT==B1of3
F370L1	interest==B2of2 xor EBIT==B2of3
F371L1	interest==B2of2 xor EBIT==B3of3
F372L1	interest==B2of2 xor net_income==B1of3
F373L1	interest==B2of2 xor net_income==B2of3
F374L1	interest==B2of2 xor net_income==B3of3
F375L1	interest==B2of2 xor FFO==B1of3
F376L1	interest==B2of2 xor FFO==B2of3
F377L1	interest==B2of2 xor FFO==B3of3
F378L1	EBIT==B1of3 xor equity==B2of2
F379L1	EBIT==B2of3 xor equity==B2of2
F380L1	EBIT==B3of3 xor equity==B2of2
F381L1	EBIT==B1of3 xor debt==B2of2
F382L1	EBIT==B2of3 xor debt==B2of2
F383L1	EBIT==B3of3 xor debt==B2of2
F384L1	cost_of_labor xor equity==B2of2
F385L1	EBIT==B1of3 xor total_oper_liabilities
F386L1	EBIT==B2of3 xor total_oper_liabilities
F387L1	EBIT==B3of3 xor total_oper_liabilities
F388L1	cost_of_labor xor debt==B2of2
F389L1	EBIT==B1of3 xor st_liabilities
F390L1	EBIT==B2of3 xor st_liabilities
F391L1	EBIT==B3of3 xor st_liabilities
F392L1	EBIT==B1of3 xor inventories
F393L1	EBIT==B2of3 xor inventories
F394L1	EBIT==B3of3 xor inventories
F395L1	EBIT==B1of3 impl net_income==B1of3
F396L1	EBIT==B1of3 impl net_income==B2of3
F397L1	EBIT==B1of3 impl net_income==B3of3
F398L1	EBIT==B2of3 impl net_income==B1of3
F399L1	EBIT==B2of3 impl net_income==B2of3
F400L1	EBIT==B2of3 impl net_income==B3of3
F401L1	EBIT==B3of3 impl net_income==B1of3
F402L1	EBIT==B3of3 impl net_income==B2of3
F403L1	EBIT==B3of3 impl net_income==B3of3
F404L1	EBIT==B1of3 impl FFO==B1of3
F405L1	EBIT==B1of3 impl FFO==B2of3
F406L1	EBIT==B1of3 impl FFO==B3of3
F407L1	EBIT==B2of3 impl FFO==B1of3
F408L1	EBIT==B2of3 impl FFO==B2of3
F409L1	EBIT==B2of3 impl FFO==B3of3
F410L1	EBIT==B3of3 impl FFO==B1of3
F411L1	EBIT==B3of3 impl FFO==B2of3
F412L1	EBIT==B3of3 impl FFO==B3of3
F413L1	equity==B2of2 impl debt==B2of2
F414L1	equity==B2of2 impl total_oper_liabilities
F415L1	net_income==B1of3 impl equity==B2of2
F416L1	net_income==B2of3 impl equity==B2of2
F417L1	net_income==B3of3 impl equity==B2of2
F418L1	net_income==B1of3 impl debt==B2of2
F419L1	net_income==B2of3 impl debt==B2of2
F420L1	net_income==B3of3 impl debt==B2of2
F421L1	equity==B2of2 impl st_liabilities
F422L1	equity==B2of2 impl inventories
F423L1	net_income==B1of3 impl total_oper_liabilities
F424L1	net_income==B2of3 impl total_oper_liabilities
F425L1	net_income==B3of3 impl total_oper_liabilities
F426L1	net_income==B1of3 impl st_liabilities
F427L1	net_income==B2of3 impl st_liabilities
F428L1	net_income==B3of3 impl st_liabilities
F429L1	net_income==B1of3 impl inventories
F430L1	net_income==B2of3 impl inventories
F431L1	net_income==B3of3 impl inventories
F432L1	equity==B2of2 impl FFO==B1of3
F433L1	equity==B2of2 impl FFO==B2of3
F434L1	equity==B2of2 impl FFO==B3of3
F435L1	debt==B2of2 impl total_oper_liabilities
F436L1	net_income==B1of3 impl FFO==B1of3
F437L1	net_income==B1of3 impl FFO==B2of3
F438L1	net_income==B1of3 impl FFO==B3of3
F439L1	net_income==B2of3 impl FFO==B1of3
F440L1	net_income==B2of3 impl FFO==B2of3
F441L1	net_income==B2of3 impl FFO==B3of3
F442L1	net_income==B3of3 impl FFO==B1of3
F443L1	net_income==B3of3 impl FFO==B2of3
F444L1	net_income==B3of3 impl FFO==B3of3
F445L1	debt==B2of2 impl st_liabilities
F446L1	debt==B2of2 impl inventories
F447L1	interest==B2of2 impl equity==B2of2
F448L1	interest==B2of2 impl debt==B2of2
F449L1	interest==B2of2 impl total_oper_liabilities
F450L1	interest==B2of2 impl st_liabilities
F451L1	interest==B2of2 impl inventories
F452L1	debt==B2of2 impl FFO==B1of3
F453L1	debt==B2of2 impl FFO==B2of3
F454L1	debt==B2of2 impl FFO==B3of3
F455L1	interest==B2of2 impl EBIT==B1of3
F456L1	interest==B2of2 impl EBIT==B2of3
F457L1	interest==B2of2 impl EBIT==B3of3
F458L1	interest==B2of2 impl net_income==B1of3
F459L1	interest==B2of2 impl net_income==B2of3
F460L1	interest==B2of2 impl net_income==B3of3
F461L1	interest==B2of2 impl FFO==B1of3
F462L1	interest==B2of2 impl FFO==B2of3
F463L1	interest==B2of2 impl FFO==B3of3
F464L1	EBIT==B1of3 impl equity==B2of2
F465L1	EBIT==B2of3 impl equity==B2of2
F466L1	EBIT==B3of3 impl equity==B2of2
F467L1	EBIT==B1of3 impl debt==B2of2
F468L1	EBIT==B2of3 impl debt==B2of2
F469L1	EBIT==B3of3 impl debt==B2of2
F470L1	EBIT==B1of3 impl total_oper_liabilities
F471L1	EBIT==B2of3 impl total_oper_liabilities
F472L1	EBIT==B3of3 impl total_oper_liabilities
F473L1	EBIT==B1of3 impl st_liabilities
F474L1	EBIT==B2of3 impl st_liabilities
F475L1	EBIT==B3of3 impl st_liabilities
F476L1	EBIT==B1of3 impl inventories
F477L1	EBIT==B2of3 impl inventories
F478L1	EBIT==B3of3 impl inventories
F479L1	EBIT==B1of3 and equity==B2of2 and FFO==B1of3
F480L1	EBIT==B1of3 and equity==B2of2 and FFO==B3of3
F481L1	EBIT==B2of3 and equity==B2of2 and FFO==B1of3
F482L1	EBIT==B2of3 and equity==B2of2 and FFO==B2of3
F483L1	EBIT==B2of3 and equity==B2of2 and FFO==B3of3
F484L1	EBIT==B3of3 and equity==B2of2 and FFO==B1of3
F485L1	EBIT==B3of3 and equity==B2of2 and FFO==B2of3
F486L1	EBIT==B3of3 and equity==B2of2 and FFO==B3of3
F487L1	interest==B2of2 and EBIT==B1of3 and net_income==B1of3
F488L1	interest==B2of2 and EBIT==B1of3 and net_income==B3of3
F489L1	interest==B2of2 and EBIT==B2of3 and net_income==B1of3
F490L1	interest==B2of2 and EBIT==B2of3 and net_income==B2of3
F491L1	interest==B2of2 and EBIT==B3of3 and net_income==B1of3
F492L1	interest==B2of2 and EBIT==B3of3 and net_income==B2of3
F493L1	interest==B2of2 and EBIT==B3of3 and net_income==B3of3
F494L1	EBIT==B1of3 and net_income==B1of3 and FFO==B1of3
F495L1	EBIT==B1of3 and net_income==B1of3 and FFO==B3of3
F496L1	EBIT==B1of3 and net_income==B2of3 and FFO==B2of3
F497L1	EBIT==B1of3 and net_income==B3of3 and FFO==B3of3
F498L1	EBIT==B2of3 and net_income==B1of3 and FFO==B1of3
F499L1	EBIT==B2of3 and net_income==B2of3 and FFO==B1of3
F500L1	EBIT==B2of3 and net_income==B2of3 and FFO==B2of3
F501L1	EBIT==B2of3 and net_income==B2of3 and FFO==B3of3
F502L1	EBIT==B2of3 and net_income==B3of3 and FFO==B3of3
F503L1	EBIT==B3of3 and net_income==B1of3 and FFO==B1of3
F504L1	EBIT==B3of3 and net_income==B1of3 and FFO==B3of3
F505L1	EBIT==B3of3 and net_income==B2of3 and FFO==B1of3
F506L1	EBIT==B3of3 and net_income==B2of3 and FFO==B2of3
F507L1	EBIT==B3of3 and net_income==B2of3 and FFO==B3of3
F508L1	EBIT==B3of3 and net_income==B3of3 and FFO==B2of3
F509L1	EBIT==B3of3 and net_income==B3of3 and FFO==B3of3
F510L1	interest==B2of2 and EBIT==B1of3 and FFO==B1of3
F511L1	interest==B2of2 and EBIT==B1of3 and FFO==B3of3
F512L1	interest==B2of2 and EBIT==B2of3 and FFO==B1of3
F513L1	interest==B2of2 and EBIT==B2of3 and FFO==B2of3
F514L1	interest==B2of2 and EBIT==B2of3 and FFO==B3of3
F515L1	interest==B2of2 and EBIT==B3of3 and FFO==B1of3
F516L1	interest==B2of2 and EBIT==B3of3 and FFO==B2of3
F517L1	interest==B2of2 and EBIT==B3of3 and FFO==B3of3
F518L1	EBIT==B1of3 and debt==B2of2 and FFO==B1of3
F519L1	EBIT==B1of3 and debt==B2of2 and FFO==B2of3
F520L1	EBIT==B1of3 and debt==B2of2 and FFO==B3of3
F521L1	EBIT==B2of3 and debt==B2of2 and FFO==B1of3
F522L1	EBIT==B2of3 and debt==B2of2 and FFO==B2of3
F523L1	EBIT==B2of3 and debt==B2of2 and FFO==B3of3
F524L1	EBIT==B3of3 and debt==B2of2 and FFO==B1of3
F525L1	EBIT==B3of3 and debt==B2of2 and FFO==B2of3
F526L1	EBIT==B3of3 and debt==B2of2 and FFO==B3of3
F527L1	interest==B2of2 and equity==B2of2 and debt==B2of2
F528L1	interest==B2of2 and net_income==B1of3 and equity==B2of2
F529L1	interest==B2of2 and net_income==B2of3 and equity==B2of2
F530L1	interest==B2of2 and net_income==B3of3 and equity==B2of2
F531L1	interest==B2of2 and net_income==B1of3 and debt==B2of2
F532L1	interest==B2of2 and net_income==B2of3 and debt==B2of2
F533L1	interest==B2of2 and net_income==B3of3 and debt==B2of2
F534L1	interest==B2of2 and equity==B2of2 and FFO==B1of3
F535L1	interest==B2of2 and equity==B2of2 and FFO==B2of3
F536L1	interest==B2of2 and equity==B2of2 and FFO==B3of3
F537L1	interest==B2of2 and net_income==B1of3 and FFO==B1of3
F538L1	interest==B2of2 and net_income==B1of3 and FFO==B3of3
F539L1	interest==B2of2 and net_income==B2of3 and FFO==B1of3
F540L1	interest==B2of2 and net_income==B2of3 and FFO==B2of3
F541L1	interest==B2of2 and net_income==B2of3 and FFO==B3of3
F542L1	interest==B2of2 and net_income==B3of3 and FFO==B2of3
F543L1	interest==B2of2 and net_income==B3of3 and FFO==B3of3
F544L1	interest==B2of2 and debt==B2of2 and FFO==B1of3
F545L1	interest==B2of2 and debt==B2of2 and FFO==B2of3
F546L1	interest==B2of2 and debt==B2of2 and FFO==B3of3
F547L1	net_income==B1of3 and equity==B2of2 and debt==B2of2
F548L1	net_income==B2of3 and equity==B2of2 and debt==B2of2
F549L1	net_income==B3of3 and equity==B2of2 and debt==B2of2
F550L1	net_income==B1of3 and equity==B2of2 and FFO==B1of3
F551L1	net_income==B1of3 and equity==B2of2 and FFO==B3of3
F552L1	net_income==B2of3 and equity==B2of2 and FFO==B1of3
F553L1	net_income==B2of3 and equity==B2of2 and FFO==B2of3
F554L1	net_income==B2of3 and equity==B2of2 and FFO==B3of3
F555L1	net_income==B3of3 and equity==B2of2 and FFO==B2of3
F556L1	net_income==B3of3 and equity==B2of2 and FFO==B3of3
F557L1	net_income==B1of3 and debt==B2of2 and FFO==B1of3
